nct,drug_query,drug,chembl,drug_type,max_stage,targets,n_targets,moa,phase,n,cond,why,sponsor
NCT02975349,evobrutinib,EVOBRUTINIB,CHEMBL4072833,Small molecule,PHASE_3,BTK,1,Tyrosine-protein kinase BTK inhibitor,PHASE2,267,Relapsing-remitting Multiple Sclerosis,Results from the EVOLUTION clinical trials showed evobrutinib did not meet its primary endpoint of annualized relapse rate for up to 156 weeks compared to oral teriflunom,EMD Serono Research & Development Instit
NCT02260648,ezetimibe,EZETIMIBE,CHEMBL1138,Small molecule,APPROVAL,NPC1L1,1,Niemann-Pick C1-like protein 1 inhibitor,PHASE3,149,Hypercholesterolemia,Study termination due to insufficient efficacy.,Eli Lilly and Company
NCT00849667,farletuzumab,FARLETUZUMAB,CHEMBL1743016,Antibody,PHASE_3,FOLR1,1,Folate receptor alpha inhibitor,PHASE3,1100,Ovarian Cancer,Lack of efficacy,Morphotek
NCT01012297,filgrastim,FILGRASTIM,CHEMBL1201567,Protein,APPROVAL,CSF3R,1,Granulocyte colony stimulating factor receptor agonist,PHASE3,107,Recurrent Uterine Corpus Sarcoma|Stage IIIA Uterine Sarcoma|,"The study was targeted to accrue 130 patients, but closed early for futility.",National Cancer Institute (NCI)
NCT03107052,fremanezumab,FREMANEZUMAB,CHEMBL4297756,Antibody,APPROVAL,CALCA;CALCB,2,Calcitonin gene-related peptide antagonist,PHASE3,275,Cluster Headache,The study was terminated after the episodic cluster study was terminated due to a pre specified futility analyses,Teva Branded Pharmaceutical Products R&D
NCT02945046,fremanezumab,FREMANEZUMAB,CHEMBL4297756,Antibody,APPROVAL,CALCA;CALCB,2,Calcitonin gene-related peptide antagonist,PHASE3,169,Episodic Cluster Headache,Study was terminated as a result of a pre-specified futility analysis at the interim of 150 participants completing the efficacy analysis of the study.,Teva Branded Pharmaceutical Products R&D
NCT00731692,fty720,FINGOLIMOD HYDROCHLORIDE,CHEMBL544665,Small molecule,APPROVAL,S1PR1;S1PR2;S1PR3;S1PR4;S1PR5,5,Sphingosine 1-phosphate receptor agonist,PHASE3,970,Primary Progressive Multiple Sclerosis,The extension study was terminated early after the results of the core study showed the study did not meet primary endpoint; confirmed disability progression,Novartis Pharmaceuticals
NCT01709734,galeterone,GALETERONE,CHEMBL2105738,Small molecule,PHASE_3,AR;CYP17A1,2,Androgen Receptor antagonist; Cytochrome P450 17A1 inhibitor,PHASE2,126,Prostate Cancer,"Study was terminated prematurely in all investigational study centers upon recommendation from the study's Data Monitoring Committee (DMC).

Study was stopped due to lack","LTN PHARMACEUTICALS, INC."
NCT01798485,ganetespib,GANETESPIB,CHEMBL2103879,Small molecule,PHASE_3,HSP90AA1;HSP90AB1,2,Heat shock protein HSP90 inhibitor,PHASE3,696,Non-Small-Cell Lung Adenocarcinoma|Non-small Cell Lung Cance,The study was stopped after the first Interim Analysis due to futility.,Synta Pharmaceuticals Corp.
NCT03407482,gdc-0853,FENEBRUTINIB,CHEMBL4065122,Small molecule,PHASE_3,BTK,1,Tyrosine-protein kinase BTK inhibitor,PHASE2,160,"Lupus Erythematosus, Systemic",The study was ended early due to the lack of efficacy seen in the parent study GA30044.,"Genentech, Inc."
NCT02641392,ged-0301,MONGERSEN SODIUM,CHEMBL3707383,Oligonucleotide,PHASE_3,SMAD7,1,SMAD-7 mRNA antisense inhibitor,PHASE3,310,Crohn's Disease,Study terminated by Sponsor following a recommendation from external DMC based on lack of emerging benefit; there were no new emergent safety findings,Celgene
NCT03628391,haloperidol,HALOPERIDOL,CHEMBL54,Small molecule,APPROVAL,DRD2;DRD3;DRD4;HTR2A,4,D2-like dopamine receptor inverse agonist; Serotonin 2a (5-HT2a) receptor antagonist,PHASE3,142,Delirium|Critical Illness|Intensive Care Psychosis|Cognitive,The study was stopped because of futility of being able to reach a one-day difference between treatment groups in the primary outcome of DCFD in the intended sample size.,Erasmus Medical Center
NCT04329923,hydroxychloroquine sulfate,HYDROXYCHLOROQUINE SULFATE,CHEMBL1690,Small molecule,APPROVAL,TLR7;TLR9,2,Toll-like receptor 7 antagonist; Toll-like receptor 9 antagonist,PHASE2,173,COVID-19,Cohort 1: slow accrual Cohort 2: Other studies showed no benefit Cohort 3: Study met pre-specificied futility analysis at planned second interim analysis,"Ravi Amaravadi, MD"
NCT02545283,idasanutlin,IDASANUTLIN,CHEMBL2402737,Small molecule,PHASE_3,MDM2;TP53,2,Tumour suppressor p53/oncoprotein Mdm2 inhibitor,PHASE3,447,"Leukemia, Myeloid, Acute",The study was stopped for futility based on efficacy results at the interim analysis; no unexpected safety findings were observed.,Hoffmann-La Roche
NCT00124748,imatinib mesylate,IMATINIB MESYLATE,CHEMBL1642,Small molecule,APPROVAL,ABL1;BCR;KIT;PDGFRB,4,Bcr/Abl fusion protein inhibitor; Platelet-derived growth factor receptor beta inhibitor; Stem cell growth factor recept,PHASE3,476,"Leukemia, Myeloid, Chronic Phase",This study was prematurely discontinued because no improvement was observed in the 800mg dose compared to 400mg dose,Novartis Pharmaceuticals
NCT01956812,immu-107,CLIVATUZUMAB TETRAXETAN,CHEMBL3301586,Antibody,PHASE_3,MUC5AC,1,Mucin-5AC binding agent,PHASE3,334,Metastatic Pancreatic Cancer|Pancreatic Cancer,"The DSMB conducted an interim analysis on overall survival, which showed that the treatment arm did not demonstrate a sufficient improvement in OS vs. placebo.",Gilead Sciences
NCT04474314,imr-687,TOVINONTRINE,CHEMBL4297290,Small molecule,PHASE_2,PDE9A,1,Phosphodiesterase 9A inhibitor,PHASE2,115,Sickle Cell Disease,"A recently conducted Interim analysis of IMR-SCD-301 demonstrated that while IMR-687 was generally well-tolerated, it failed to meet its primary efficacy endpoint. So, th","Cardurion Pharmaceuticals, Inc."
NCT04411082,imr-687,TOVINONTRINE,CHEMBL4297290,Small molecule,PHASE_2,PDE9A,1,Phosphodiesterase 9A inhibitor,PHASE2,122,β Thalassemia,"IMR-BTL-201demonstrated that while IMR-687 was generally well-tolerated, it failed to show any meaningful benefit in transfusion burden or improvement in most disease-rel","Cardurion Pharmaceuticals, Inc."
NCT01774604,indomethacin,INDOMETHACIN,CHEMBL6,Small molecule,APPROVAL,PTGS1;PTGS2,2,Cyclooxygenase inhibitor,PHASE3,449,Post-ERCP Acute Pancreatitis,Futility,Dartmouth-Hitchcock Medical Center
NCT01232556,inotuzumab ozogamicin,INOTUZUMAB OZOGAMICIN,CHEMBL2108611,Antibody drug conjugate,APPROVAL,CD22,1,CD22 binding agent,PHASE3,338,"Lymphoma, Non-Hodgkin","The study was terminated prematurely on May 16, 2013, for futility. No new or unexpected safety issues were identified.",Pfizer
NCT00047632,interferon gamma-1b,INTERFERON GAMMA-1B,CHEMBL1201564,Protein,APPROVAL,IFNGR1;IFNGR2,2,Interferon gamma receptor agonist,PHASE3,847,Ovarian Carcinoma|Peritoneal Carcinoma,futility,InterMune
NCT03445533,ipilimumab,IPILIMUMAB,CHEMBL1789844,Antibody,APPROVAL,CTLA4,1,Cytotoxic T-lymphocyte protein 4 inhibitor,PHASE3,481,Metastatic Melanoma,Lack of Efficacy,"Idera Pharmaceuticals, Inc."
NCT03584516,itacitinib,ITACITINIB,CHEMBL3622820,Small molecule,PHASE_3,JAK1,1,Tyrosine-protein kinase JAK1 inhibitor,PHASE2/PHASE3,155,Chronic Graft-versus-host Disease,The study was terminated due to insufficient efficacy to support moving into Part 2 of the study; there were no safety concerns that contributed to this decision.,Incyte Corporation
NCT02980874,ivt aflibercept,AFLIBERCEPT,CHEMBL1742982,Protein,APPROVAL,PGF;VEGFA,2,Placenta growth factor inhibitor; Vascular endothelial growth factor A inhibitor,PHASE3,460,Macular Edema|Retinal Vein Occlusion,"Primary, 8-week efficacy endpoint not achieved. No additional benefit for subjects receiving a corticosteroid together with an intravitreal anti-VEGF agent.","Clearside Biomedical, Inc."
NCT04619420,jnj-63733657,POSDINEMAB,CHEMBL4650402,Antibody,PHASE_2,MAPT,1,Microtubule-associated protein tau inhibitor,PHASE2,523,Alzheimer Disease|Cognitive Dysfunction|Dementia,Posdinemab did not achieve statistical significance in slowing clinical decline,"Janssen Research & Development, LLC"
NCT03071692,k-877,K-877,CHEMBL3545412,Unknown,PHASE_3,PPARA,1,Peroxisome proliferator-activated receptor alpha agonist,PHASE3,10544,Type2 Diabetes|Dyslipidemia,The study was stopped for futility based on efficacy results at the interim analysis; no unexpected safety findings were observed.,"Kowa Research Institute, Inc."
NCT02783573,lanabecestat,LANABECESTAT,CHEMBL3989948,Small molecule,PHASE_3,BACE1,1,Beta-secretase 1 inhibitor,PHASE3,1722,Alzheimer's Disease,"An independent assessment concluded the trial was not likely to meet the primary endpoint upon completion and therefore, trial stopped for futility.",AstraZeneca
NCT02245737,lanabecestat,LANABECESTAT,CHEMBL3989948,Small molecule,PHASE_3,BACE1,1,Beta-secretase 1 inhibitor,PHASE2/PHASE3,2218,Alzheimer´s Disease,"An independent assessment concluded the trial was not likely to meet the primary endpoint upon completion and therefore, trial stopped for futility",AstraZeneca
NCT00097344,letrozole,LETROZOLE,CHEMBL1444,Small molecule,APPROVAL,CYP19A1,1,Cytochrome P450 19A1 inhibitor,PHASE3,842,"Breast Neoplasms|Neoplasms, Hormone-Dependent",Identical study Biomed 777-CLP-029 did not meet superiority endpoint,Intarcia Therapeutics
NCT00267553,letrozole,LETROZOLE,CHEMBL1444,Small molecule,APPROVAL,CYP19A1,1,Cytochrome P450 19A1 inhibitor,PHASE3,200,"Breast Neoplasms|Neoplasms, Hormone-Dependent",This was a follow-on study to Biomed 777-CLP-029 which did not meet superiority endpoint,Intarcia Therapeutics
NCT01215942,ly2127399,TABALUMAB,CHEMBL1743075,Antibody,PHASE_3,TNFSF13B,1,Tumor necrosis factor ligand superfamily member 13B inhibitor,PHASE3,1086,Rheumatoid Arthritis,Insufficient efficacy observed in study BCDM (NCT01198002) and BCDV (NCT01202773).,Eli Lilly and Company
NCT01202773,ly2127399,TABALUMAB,CHEMBL1743075,Antibody,PHASE_3,TNFSF13B,1,Tumor necrosis factor ligand superfamily member 13B inhibitor,PHASE3,456,Rheumatoid Arthritis,"Terminated not based on safety concerns, but due to insufficient efficacy.",Eli Lilly and Company
NCT03831191,ly3375880,TORUDOKIMAB,CHEMBL4650487,Antibody,PHASE_2,IL33,1,Interleukin-33 inhibitor,PHASE2,136,Atopic Dermatitis,The study was terminated for lack of efficacy after an interim analysis was performed,Eli Lilly and Company
NCT01097707,ly500307,ERTEBEREL,CHEMBL278703,Small molecule,PHASE_2,ESR2,1,Estrogen receptor beta agonist,PHASE2,414,Benign Prostatic Hyperplasia,Terminated due to insufficient efficacy,Eli Lilly and Company
NCT04271475,macitentan,MACITENTAN,CHEMBL2103873,Small molecule,APPROVAL,EDNRA;EDNRB,2,"Endothelin receptor, ET-A/ET-B antagonist",PHASE3,127,Chronic Thromboembolic Pulmonary Hypertension,The Sponsor decided to stop the study for futility based on a recommendation by the IDMC following a pre-planned interim analysis,Actelion
NCT03775421,macitentan,MACITENTAN,CHEMBL2103873,Small molecule,APPROVAL,EDNRA;EDNRB,2,"Endothelin receptor, ET-A/ET-B antagonist",PHASE3,112,Congenital Heart Disease With Fontan Circulation,"As The RUBATO DB study (NCT03153137) did not show any benefit of treatment with macitentan in Fontan-palliated participants, the sponsor has decided to terminate the RUBA",Actelion
NCT04313881,magrolimab,MAGROLIMAB,CHEMBL4297985,Antibody,PHASE_3,CD47,1,Leukocyte surface antigen CD47 inhibitor,PHASE3,539,Myelodysplastic Syndromes,Study discontinued due to futility based on a planned analysis,Gilead Sciences
NCT05079230,magrolimab,MAGROLIMAB,CHEMBL4297985,Antibody,PHASE_3,CD47,1,Leukocyte surface antigen CD47 inhibitor,PHASE3,378,Acute Myeloid Leukemia,Study was terminated due to futility,Gilead Sciences
NCT05582395,mavacamten,MAVACAMTEN,CHEMBL4297517,Small molecule,APPROVAL,MYH6;MYH7;MYH7B;MYL2;MYL3;MYL4;MYL7,7,Cardiac myosin inhibitor,PHASE3,580,"Cardiomyopathy, Hypertrophic",Trial terminated because of lack of efficacy in the short term acute phase,Bristol-Myers Squibb
NCT00814372,mbx-102,ARHALOFENATE,CHEMBL2103824,Small molecule,PHASE_2_3,PPARG;SLC22A12,2,Peroxisome proliferator-activated receptor gamma modulator; Solute carrier family 22 member 12 inhibitor,PHASE2,242,Type 2 Diabetes Mellitus,MBX-102 did not meet the target efficacy profile of HbA1c change.,Gilead Sciences
NCT01038739,mesalazine,MESALAMINE,CHEMBL704,Small molecule,APPROVAL,ALOX5;PPARG;PTGS1;PTGS2,4,Arachidonate 5-lipoxygenase inhibitor; Cyclooxygenase inhibitor; Peroxisome proliferator-activated receptor gamma agonis,PHASE3,330,Diverticulitis,Stopped due to futility.,Dr. Falk Pharma GmbH
NCT01230827,methotrexate,METHOTREXATE,CHEMBL34259,Small molecule,APPROVAL,DHFR,1,Dihydrofolate reductase inhibitor,PHASE3,173,Juvenile Idiopathic Arthritis,Trial has failed to meet primary - and major secondary endpoints,"Janssen Research & Development, LLC"
NCT00005047,methotrexate,METHOTREXATE,CHEMBL34259,Small molecule,APPROVAL,DHFR,1,Dihydrofolate reductase inhibitor,PHASE3,521,Bladder Cancer,Accrual was halted on the basis of the Data and Safety Monitoring Board review of a futility analysis.,SWOG Cancer Research Network
NCT03584516,methylprednisolone,METHYLPREDNISOLONE,CHEMBL650,Small molecule,APPROVAL,NR3C1,1,Glucocorticoid receptor agonist,PHASE2/PHASE3,155,Chronic Graft-versus-host Disease,The study was terminated due to insufficient efficacy to support moving into Part 2 of the study; there were no safety concerns that contributed to this decision.,Incyte Corporation
NCT02587351,metoprolol succinate,METOPROLOL SUCCINATE,CHEMBL2356097,Small molecule,APPROVAL,ADRB1,1,Beta-1 adrenergic receptor antagonist,PHASE3,532,"Pulmonary Disease, Chronic Obstructive",Futility,University of Minnesota
NCT01852110,mk-7622,MK-7622,CHEMBL4078588,Small molecule,PHASE_2,CHRM1,1,Muscarinic acetylcholine receptor M1 positive allosteric modulator,PHASE2,240,Alzheimer's Disease,Stage 1 interim analysis of efficacy met the criteria for early trial termination (futility). The trial was terminated at Stage 1; did not proceed to Stage 2.,Merck Sharp & Dohme LLC
NCT02629848,motesanib,MOTESANIB,CHEMBL572881,Small molecule,PHASE_3,FLT1;FLT4;KDR;KIT;PDGFRA;PDGFRB;RET,7,Platelet-derived growth factor receptor inhibitor; Stem cell growth factor receptor inhibitor; Tyrosine-protein kinase r,PHASE3,401,"Carcinoma, Non-Small-Cell Lung",Sponsor decision to terminate the study because the study did not meet the primary endpoint.,Takeda
NCT00244504,moxonidine,MOXONIDINE,CHEMBL19236,Small molecule,APPROVAL,NISCH,1,Nischarin agonist,PHASE3,141,Cardiac Disease|Vascular Surgery,Study was stopped after pre-definied interim analysis because of no effects,"University Hospital, Basel, Switzerland"
NCT00430677,mycophenolate mofetil,MYCOPHENOLATE MOFETIL,CHEMBL1456,Small molecule,APPROVAL,IMPDH1;IMPDH2,2,Inosine-5'-monophosphate dehydrogenase (IMPDH) inhibitor,PHASE2/PHASE3,423,Systemic Lupus Erythematosus,Terminated due to failure to meet the primary efficacy endpoint in the Short-term Period,Bristol-Myers Squibb
NCT00318474,mycophenolate mofetil,MYCOPHENOLATE MOFETIL,CHEMBL1456,Small molecule,APPROVAL,IMPDH1;IMPDH2,2,Inosine-5'-monophosphate dehydrogenase (IMPDH) inhibitor,PHASE3,184,IgA Nephropathy,DSMB recommended stopping the trial because of lack of effect.,St. Joseph's Hospital and Medical Center
NCT00418782,naproxen,NAPROXEN,CHEMBL154,Small molecule,APPROVAL,PTGS1;PTGS2,2,Cyclooxygenase inhibitor,PHASE2,212,Osteoarthritis,Results of interim analysis indicate lack of efficacy when compared to placebo.,Pfizer
NCT01416181,natalizumab,NATALIZUMAB,CHEMBL1201607,Antibody,APPROVAL,ITGA4;ITGB1;ITGB7,3,Integrin alpha-4/beta-1 inhibitor; Integrin alpha-4/beta-7 inhibitor,PHASE3,889,Secondary Progressive Multiple Sclerosis,The ASCEND Study did not achieve statistical significance on the primary or secondary endpoints.,Biogen
NCT01905592,niraparib,NIRAPARIB,CHEMBL1094636,Small molecule,APPROVAL,PARP1;PARP2,2,Poly [ADP-ribose] polymerase 2 inhibitor; Poly [ADP-ribose] polymerase-1 inhibitor,PHASE3,216,"Neoplasms, Breast|Carcinoma of Breast|Human Epidermal Growth",The study was terminated due to futility.,"Tesaro, Inc."
NCT02725372,nitric oxide,NITRIC OXIDE,CHEMBL1200689,Small molecule,APPROVAL,GUCY1A1;GUCY1A2;GUCY1B1,3,Soluble guanylate cyclase activator,PHASE3,207,Pulmonary Arterial Hypertension,Trial stopped for futility,Bellerophon Pulse Technologies
NCT06029439,nmra-335140,NAVACAPRANT,CHEMBL4592045,Small molecule,PHASE_3,OPRK1,1,Kappa opioid receptor antagonist,PHASE3,904,Major Depressive Disorder,NMRA-335140 did not achieve the primary endpoint across three randomized controlled trials. Program discontinued due to lack of efficacy in MDD.,"Neumora Therapeutics, Inc."
NCT01077518,ofatumumab,OFATUMUMAB,CHEMBL1201836,Antibody,APPROVAL,MS4A1,1,B-lymphocyte antigen CD20 binding agent,PHASE3,346,"Lymphoma, Follicular",The study was terminated early as it did not meet the Primary efficacy objective after primary analysis.,Novartis Pharmaceuticals
NCT01200589,ofatumumab,OFATUMUMAB,CHEMBL1201836,Antibody,APPROVAL,MS4A1,1,B-lymphocyte antigen CD20 binding agent,PHASE3,438,Non-Hodgkin's Lymphoma,The study stopped due to futility.,Novartis Pharmaceuticals
NCT03608033,oms721,NARSOPLIMAB,CHEMBL4298195,Antibody,APPROVAL,MASP2,1,Mannan-binding lectin serine protease 2 inhibitor,PHASE3,360,IgA Nephropathy,IA did not meet the prespecified primary endpoint.,Omeros Corporation
NCT04333147,otilimab,OTILIMAB,CHEMBL2109433,Antibody,PHASE_3,CSF2,1,Granulocyte-macrophage colony-stimulating factor inhibitor,PHASE3,2916,"Arthritis, Rheumatoid",Study is early terminated due to Limited efficacy demonstrated in the contRAst program does not support a suitable benefit/risk profile for otilimab as a potential treatm,GlaxoSmithKline
NCT00101361,oxandrolone,OXANDROLONE,CHEMBL1200436,Small molecule,APPROVAL,AR,1,Androgen Receptor agonist,PHASE3,212,Pressure Ulcer,futility analysis showed low probability of detecting a significant difference,US Department of Veterans Affairs
NCT03955146,pamrevlumab,PAMREVLUMAB,CHEMBL2109377,Antibody,PHASE_3,CCN2,1,Connective tissue growth factor inhibitor,PHASE3,393,Idiopathic Pulmonary Fibrosis,Study did not meet its primary endpoint.,Kyntra Bio
NCT04551053,parsaclisib,PARSACLISIB,CHEMBL4297615,Small molecule,APPROVAL,PIK3CD,1,PI3-kinase p110-delta subunit inhibitor,PHASE3,177,Myelofibrosis|Primary Myelofibrosis|Post Essential Thrombocy,The study was terminated due to futility.,Incyte Corporation
NCT04551066,parsaclisib,PARSACLISIB,CHEMBL4297615,Small molecule,APPROVAL,PIK3CD,1,PI3-kinase p110-delta subunit inhibitor,PHASE3,252,Myelofibrosis|Primary Myelofibrosis|Post Essential Thrombocy,The study was terminated due to futility.,Incyte Corporation
NCT01374451,pasireotide lar,PASIREOTIDE,CHEMBL3349607,Protein,APPROVAL,SSTR1;SSTR2;SSTR3;SSTR5,4,Somatostatin receptor 1 agonist; Somatostatin receptor 2 agonist; Somatostatin receptor 3 agonist; Somatostatin receptor,PHASE2,160,Islet Cell Tumor,The study was stopped for not meeting the primary endpoint for PFS.,Novartis Pharmaceuticals
NCT01012297,pegfilgrastim,PEGFILGRASTIM,CHEMBL1201568,Protein,APPROVAL,CSF3R,1,Granulocyte colony stimulating factor receptor agonist,PHASE3,107,Recurrent Uterine Corpus Sarcoma|Stage IIIA Uterine Sarcoma|,"The study was targeted to accrue 130 patients, but closed early for futility.",National Cancer Institute (NCI)
NCT05226598,pembrolizumab,PEMBROLIZUMAB,CHEMBL3137343,Antibody,APPROVAL,PDCD1,1,Programmed cell death protein 1 inhibitor,PHASE3,739,Metastatic Non-Small Cell Lung Cancer,"MK-7684A-007 was terminated early due to futility. A non-submission CSR, not intended to support any registration, was issued; therefore, an abbreviated CSR was generated",Merck Sharp & Dohme LLC
NCT05226598,pemetrexed,PEMETREXED,CHEMBL225072,Small molecule,APPROVAL,DHFR;GART;TYMS,3,Dihydrofolate reductase inhibitor; GAR transformylase inhibitor; Thymidylate synthase inhibitor,PHASE3,739,Metastatic Non-Small Cell Lung Cancer,"MK-7684A-007 was terminated early due to futility. A non-submission CSR, not intended to support any registration, was issued; therefore, an abbreviated CSR was generated",Merck Sharp & Dohme LLC
NCT02310763,pf-06252616,DOMAGROZUMAB,CHEMBL3544991,Antibody,PHASE_2,MSTN,1,Growth/differentiation factor 8 inhibitor,PHASE2,121,Duchenne Muscular Dystrophy,Termination Date 30AUG2018: Reason for termination: Lack of Efficacy,Pfizer
NCT05267535,piromelatine,PIROMELATINE,CHEMBL4297523,Small molecule,PHASE_2_3,MTNR1A;MTNR1B,2,Melatonin receptor agonist,PHASE2/PHASE3,216,Alzheimer's Disease,Treatment with 20 mg piromelatine did not demonstrate efficacy over treatment with placebo based on analysis with the ADAS-Cog 14 subscale and with other cognitive and ne,Neurim Pharmaceuticals Ltd.
NCT01794000,prasugrel,PRASUGREL,CHEMBL1201772,Small molecule,APPROVAL,P2RY12,1,Purinergic receptor P2Y12 antagonist,PHASE3,341,Sickle Cell Disease,The study is being terminated for lack of efficacy.,Eli Lilly and Company
NCT03584516,prednisone,PREDNISONE,CHEMBL635,Small molecule,APPROVAL,NR3C1,1,Glucocorticoid receptor agonist,PHASE2/PHASE3,155,Chronic Graft-versus-host Disease,The study was terminated due to insufficient efficacy to support moving into Part 2 of the study; there were no safety concerns that contributed to this decision.,Incyte Corporation
NCT04598477,prednisone,PREDNISONE,CHEMBL635,Small molecule,APPROVAL,NR3C1,1,Glucocorticoid receptor agonist,PHASE3,183,Pemphigus Vulgaris|Pemphigus Foliaceus,"Based on the lack of observed efficacy in the primary study ARGX-113-1904, the sponsor decided to discontinue the open-label extension study.",argenx
NCT00676650,prednisone,PREDNISONE,CHEMBL635,Small molecule,APPROVAL,NR3C1,1,Glucocorticoid receptor agonist,PHASE3,873,Prostatic Neoplasms,Study A6181120 was prematurely discontinued due to futility on 27 September 2010. No new or unexpected safety issues were identified.,Pfizer
NCT02626455,prednisone,PREDNISONE,CHEMBL635,Small molecule,APPROVAL,NR3C1,1,Glucocorticoid receptor agonist,PHASE3,551,"Lymphoma, Non-Hodgkin",Company decided to terminate this study due to study did not meet the primary endpoint.,Bayer
NCT00822900,progesterone,PROGESTERONE,CHEMBL103,Small molecule,APPROVAL,PGR,1,Progesterone receptor agonist,PHASE3,882,Traumatic Brain Injury,futility: low conditional power to demonstrate benefit of progesterone,David Wright
NCT04759833,prucalopride,PRUCALOPRIDE,CHEMBL117287,Small molecule,APPROVAL,HTR4,1,Serotonin 4 (5-HT4) receptor agonist,PHASE3,175,Constipation,"Data Monitoring Committee (DMC) decision; terminated due to futility, with no safety concerns; FDA agreement to terminate the study.",Takeda
NCT00658645,quetiapine,QUETIAPINE,CHEMBL716,Small molecule,APPROVAL,DRD2;HTR2A;HTR2C,3,Dopamine D2 receptor antagonist; Serotonin 2a (5-HT2a) receptor antagonist; Serotonin 2c (5-HT2c) receptor antagonist,PHASE3,227,Schizophrenia,Interim analysis showed inadequate efficacy of bifeprunox,H. Lundbeck A/S
NCT00704509,quetiapine,QUETIAPINE,CHEMBL716,Small molecule,APPROVAL,DRD2;HTR2A;HTR2C,3,Dopamine D2 receptor antagonist; Serotonin 2a (5-HT2a) receptor antagonist; Serotonin 2c (5-HT2c) receptor antagonist,PHASE3,346,Schizophrenia,Interim analysis showed inadequate efficacy of bifeprunox,H. Lundbeck A/S
NCT04369469,ravulizumab,RAVULIZUMAB,CHEMBL3989986,Antibody,APPROVAL,C5,1,Complement C5 inhibitor,PHASE3,202,COVID-19 Severe Pneumonia|Acute Lung Injury|Acute Respirator,Met futility bar at interim analysis,"Alexion Pharmaceuticals, Inc."
NCT05746559,ravulizumab,RAVULIZUMAB,CHEMBL3989986,Antibody,APPROVAL,C5,1,Complement C5 inhibitor,PHASE3,555,Chronic Kidney Disease|CKD|Cardiac Disease|Cardiopulmonary B,The ALXN1210-CSA-AKI-318 trial was discontinued on 29-Apr-2026 due to lack of efficacy in this overall study universe / patient population.,"Alexion Pharmaceuticals, Inc."
NCT04248465,ravulizumab,RAVULIZUMAB,CHEMBL3989986,Antibody,APPROVAL,C5,1,Complement C5 inhibitor,PHASE3,382,Amyotrophic Lateral Sclerosis|ALS,The IDMC recommended the study be discontinued due to lack of efficacy with ravulizumab.,"Alexion Pharmaceuticals, Inc."
NCT03736967,regn3500,ITEPEKIMAB,CHEMBL4594594,Antibody,PHASE_3,IL33,1,Interleukin-33 inhibitor,PHASE2,206,Atopic Dermatitis,Lack of efficacy,Regeneron Pharmaceuticals
NCT04944784,reldesemtiv,RELDESEMTIV,CHEMBL4297600,Small molecule,PHASE_3,TNNC2;TNNI2;TNNT3,3,Fast skeletal troponin complex activator,PHASE3,489,Amyotrophic Lateral Sclerosis,The DMC recommended the trial be discontinued due to futility following a planned second interim analysis.,Cytokinetics
NCT00607971,renzapride,RENZAPRIDE,CHEMBL296522,Small molecule,PHASE_3,HTR3A;HTR3B;HTR3C;HTR3D;HTR3E;HTR4,6,Serotonin 3 (5-HT3) receptor antagonist; Serotonin 4 (5-HT4) receptor agonist,PHASE3,939,Constipation-Predominant Irritable Bowel Syndrome,Terminated due to insufficient efficacy over placebo in Study ATL1251/038/CL.,Alizyme
NCT05254990,reparixin,REPARIXIN,CHEMBL191413,Small molecule,PHASE_3,CXCR1;CXCR2,2,Interleukin-8 receptor A modulator; Interleukin-8 receptor B modulator,PHASE3,414,Infectious Pneumonia|Severe COVID-19,The study was stopped due to futility as per protocol,Dompé Farmaceutici S.p.A
NCT03762265,rilzabrutinib,RILZABRUTINIB,CHEMBL3702854,Small molecule,APPROVAL,BTK,1,Tyrosine-protein kinase BTK inhibitor,PHASE3,131,Pemphigus,Sponsor decision based on lack of efficacy,"Principia Biopharma, a Sanofi Company"
NCT01232556,rituximab,RITUXIMAB,CHEMBL1201576,Antibody,APPROVAL,MS4A1,1,B-lymphocyte antigen CD20 binding agent,PHASE3,338,"Lymphoma, Non-Hodgkin","The study was terminated prematurely on May 16, 2013, for futility. No new or unexpected safety issues were identified.",Pfizer
NCT01200589,rituximab,RITUXIMAB,CHEMBL1201576,Antibody,APPROVAL,MS4A1,1,B-lymphocyte antigen CD20 binding agent,PHASE3,438,Non-Hodgkin's Lymphoma,The study stopped due to futility.,Novartis Pharmaceuticals
NCT02626455,rituximab,RITUXIMAB,CHEMBL1201576,Antibody,APPROVAL,MS4A1,1,B-lymphocyte antigen CD20 binding agent,PHASE3,551,"Lymphoma, Non-Hodgkin",Company decided to terminate this study due to study did not meet the primary endpoint.,Bayer
NCT04504032,rivaroxaban,RIVAROXABAN,CHEMBL198362,Small molecule,APPROVAL,F10,1,Coagulation factor X inhibitor,PHASE2,497,COVID-19,"Based on Data Monitoring Committee''s recommendation on 3 February 2021, the study was stopped on 4 February 2021 due to futility.",Gates Medical Research Institute
NCT00471237,ronacaleret,RONACALERET,CHEMBL1198855,Small molecule,PHASE_2,CASR,1,Calcium sensing receptor antagonist,PHASE2,564,Osteoporosis,Terminated for futility by sponsor after a pre-planned interim review of data,GlaxoSmithKline
NCT00979121,rosuvastatin,ROSUVASTATIN,CHEMBL1496,Small molecule,APPROVAL,HMGCR,1,HMG-CoA reductase inhibitor,PHASE3,745,Sepsis|Acute Lung Injury,stopped for futility,"National Heart, Lung, and Blood Institut"
