nct,drug_query,drug,chembl,drug_type,max_stage,targets,n_targets,moa,phase,n,cond,why,sponsor
NCT04952519,amantadine,AMANTADINE,CHEMBL660,Small molecule,APPROVAL,GRIN1;GRIN2A;GRIN2B;GRIN2C;GRIN2D;GRIN3A;GRIN3B,7,Glutamate [NMDA] receptor antagonist; Matrix protein 2 inhibitor,PHASE3,193,Patients With Moderate or Severe COVID-19,"The annual analysis did not show the efficacy of the investigational medicinal product in this application, therefore the study was not continued.",Noblewell
NCT00768300,ambrisentan,AMBRISENTAN,CHEMBL1111,Small molecule,APPROVAL,EDNRA;EDNRB,2,"Endothelin receptor, ET-A/ET-B antagonist",PHASE3,494,Idiopathic Pulmonary Fibrosis,Lack of efficacy,Gilead Sciences
NCT00460317,amg 706,MOTESANIB,CHEMBL572881,Small molecule,PHASE_3,FLT1;FLT4;KDR;KIT;PDGFRA;PDGFRB;RET,7,Platelet-derived growth factor receptor inhibitor; Stem cell growth factor receptor inhibitor; Tyrosine-protein kinase r,PHASE3,1450,Non-Small Cell Lung Cancer,Amgen discontinued the development of AMG706 because 20050201 did not meet its primary objective.,Amgen
NCT01151215,anastrozole,ANASTROZOLE,CHEMBL1399,Small molecule,APPROVAL,CYP19A1,1,Cytochrome P450 19A1 inhibitor,PHASE2,482,Neoplasms|Breast Neoplasms|Breast Cancer,Futility,AstraZeneca
NCT00300196,ancrod,ANCROD,CHEMBL2108481,Unknown,APPROVAL,FGA;FGB;FGG,3,Fibrinogen hydrolytic enzyme,PHASE3,311,Stroke|Cerebral Ischemia|Brain Infarction,Futility,Neurobiological Technologies
NCT02450331,atezolizumab,ATEZOLIZUMAB,CHEMBL3707227,Antibody,APPROVAL,CD274,1,Programmed cell death 1 ligand 1 inhibitor,PHASE3,809,"Carcinoma, Transitional Cell",Sponsor decided to terminate the study early because the study did not meet its primary endpoint and because the study had met its goals of providing safety and additiona,Hoffmann-La Roche
NCT04338269,atezolizumab,ATEZOLIZUMAB,CHEMBL3707227,Antibody,APPROVAL,CD274,1,Programmed cell death 1 ligand 1 inhibitor,PHASE3,522,"Carcinoma, Renal Cell",As the study did not meet it's primary endpoint a decision was made to terminate the study.,Hoffmann-La Roche
NCT06514742,aticaprant,ATICAPRANT,CHEMBL1921847,Small molecule,PHASE_3,OPRK1,1,Kappa opioid receptor antagonist,PHASE3,101,"Depressive Disorder, Major|Anhedonia",Early study termination due to insufficient efficacy.,"Janssen Research & Development, LLC"
NCT00741715,atorvastatin,ATORVASTATIN,CHEMBL1487,Small molecule,APPROVAL,HMGCR,1,HMG-CoA reductase inhibitor,PHASE3,1736,Hypercholesterolemia,AVE5530 in hypercholesterolemia was stopped due to insufficient efficacy,Sanofi
NCT02260648,atorvastatin,ATORVASTATIN,CHEMBL1487,Small molecule,APPROVAL,HMGCR,1,HMG-CoA reductase inhibitor,PHASE3,149,Hypercholesterolemia,Study termination due to insufficient efficacy.,Eli Lilly and Company
NCT05036135,av-101,AV-101,CHEMBL3545351,Small molecule,PHASE_3,GRIN1;GRIN2A;GRIN2B;GRIN2C;GRIN2D;GRIN3A;GRIN3B,7,Glutamate [NMDA] receptor antagonist,PHASE2/PHASE3,202,Pulmonary Arterial Hypertension,"The IMPAHCT study demonstrated that while inhaled imatinib was well tolerated, it did not prove to be efficacious at any of the doses of AV-101 evaluated in the study.",Aerovate Therapeutics
NCT05557942,av-101,AV-101,CHEMBL3545351,Small molecule,PHASE_3,GRIN1;GRIN2A;GRIN2B;GRIN2C;GRIN2D;GRIN3A;GRIN3B,7,Glutamate [NMDA] receptor antagonist,PHASE3,186,Pulmonary Arterial Hypertension,"Results from the parent study (IMPAHCT) demonstrated that while inhaled imatinib was well tolerated, it did not prove to be efficacious at any of the doses of AV-101 eval",Aerovate Therapeutics
NCT02952586,avelumab,AVELUMAB,CHEMBL3833373,Antibody,APPROVAL,CD274,1,Programmed cell death 1 ligand 1 other,PHASE3,697,Squamous Cell Carcinoma of the Head and Neck,The trial prematurely terminated as recommended by the E-DMC because the boundary for futility has been crossed.,Pfizer
NCT01599754,axitinib,AXITINIB,CHEMBL1289926,Small molecule,APPROVAL,FLT1;FLT4;KDR,3,Vascular endothelial growth factor receptor inhibitor,PHASE3,724,Clear Cell Renal Carcinoma,Primary endpoint did not reach statistical significance,SFJ Pharma Ltd. II
NCT04313881,azacitidine,AZACITIDINE,CHEMBL1489,Small molecule,APPROVAL,DNMT1;DNMT3A,2,DNA (cytosine-5)-methyltransferase 1 inhibitor; DNA (cytosine-5)-methyltransferase 3A inhibitor,PHASE3,539,Myelodysplastic Syndromes,Study discontinued due to futility based on a planned analysis,Gilead Sciences
NCT05079230,azacitidine,AZACITIDINE,CHEMBL1489,Small molecule,APPROVAL,DNMT1;DNMT3A,2,DNA (cytosine-5)-methyltransferase 1 inhibitor; DNA (cytosine-5)-methyltransferase 3A inhibitor,PHASE3,378,Acute Myeloid Leukemia,Study was terminated due to futility,Gilead Sciences
NCT02147873,azacitidine,AZACITIDINE,CHEMBL1489,Small molecule,APPROVAL,DNMT1;DNMT3A,2,DNA (cytosine-5)-methyltransferase 1 inhibitor; DNA (cytosine-5)-methyltransferase 3A inhibitor,PHASE2,118,Myelodysplastic Syndrome (MDS)|Chronic Myelomonocytic Leukem,Study terminated due to lack of efficacy,TetraLogic Pharmaceuticals
NCT01151215,azd8931,SAPITINIB,CHEMBL2408045,Small molecule,PHASE_2,EGFR;ERBB2;ERBB3,3,Epidermal growth factor receptor erbB1 inhibitor; Receptor protein-tyrosine kinase erbB-2 inhibitor; Receptor tyrosine-p,PHASE2,482,Neoplasms|Breast Neoplasms|Breast Cancer,Futility,AstraZeneca
NCT02080364,azeliragon,AZELIRAGON,CHEMBL3989929,Small molecule,PHASE_3,AGER,1,Advanced glycosylation end product-specific receptor antagonist,PHASE3,880,Alzheimer's Disease,Not due to safety but due to a lack of efficacy at the 5 mg azeliragon dose.,vTv Therapeutics
NCT02916056,azeliragon,AZELIRAGON,CHEMBL3989929,Small molecule,PHASE_3,AGER,1,Advanced glycosylation end product-specific receptor antagonist,PHASE3,297,Alzheimer's Disease,Not due to safety but due to a lack of efficacy at the 5 mg azeliragon dose.,vTv Therapeutics
NCT03504917,balovaptan,BALOVAPTAN,CHEMBL4297183,Small molecule,PHASE_3,AVPR1A,1,Vasopressin V1a receptor antagonist,PHASE3,322,Autism Spectrum Disorder,A futility analysis assessed that the study is highly unlikely to meet the pre-defined primary objective of the study. No new safety concerns were identified.,Hoffmann-La Roche
